Outreach ID,Company ID,Company,Visit Date,Notes,Outcome,Stage,Status,Next Visit Date,Days Since Last Visit,Next Visit Countdown,Outcome Category,Follow Up Action,Owner,Prospects Match,Contact Type,Email Sent,Email Opened
LID-00002,CID-3CF5B20B,Casting Repair Service,2025-11-07,Said he would definitely give me a call if he thought he had enough scrap,Interested,Nurture,Hot,11/21/2025,38,-24,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00003,CID-6087B7F7,D&S Electric Company,2025-11-07,"Semi-interested, but said he would reach out if he changed his mind",No Scrap,Lost,Cold,5/6/2026,38,142,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00004,CID-1E972E42,Eagle Electric,2025-11-07,Does not deal with much scrap,No Scrap,Lost,Cold,5/6/2026,38,142,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00005,CID-DE67C482,Habitat for Humanity,2025-11-07,Discussed donation/recycling opportunities,Has Vendor,Nurture,Warm,2/5/2026,38,52,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00006,CID-5C8CB9C4,Hamilton Supply Company,2025-11-07,Does not really have much scrap,No Scrap,Lost,Cold,5/6/2026,38,142,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00007,CID-AE53FB01,Heavy Metal and Welding,2025-11-07,Said they already had a guy.,Has Vendor,Nurture,Warm,2/5/2026,38,52,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00008,CID-FEFFC5CA,Maddox,2025-11-07,Said that they already have a close friend doing their roll-off,Has Vendor,Nurture,Warm,2/5/2026,38,52,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00009,CID-63928F4B,Matheson,2025-11-07,Receptionist said she would give my card to the manager and them look it over,Corporate/Manager Approval,Nurture,Warm,12/7/2025,38,-8,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00010,CID-73F3749F,Napa Auto Parts,2025-11-07,Would talk to corporate for me,Corporate/Manager Approval,Nurture,Warm,12/7/2025,38,-8,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00011,CID-B53302D0,Nikobi Auto Sales,2025-11-07,Not very interested. Small body shop and they reuse parts,Corporate/Manager Approval,Nurture,Warm,12/7/2025,38,-8,Other,General Follow up,Kyle,Yes,In Person,FALSE,
LID-00012,CID-157C38BD,Pro-Tech Services,2025-11-07,"interested, but lets their employees take the scrap metal",Interested,Nurture,Hot,11/21/2025,38,-24,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00013,CID-4F674552,Ray Engine,2025-11-07,Won,Won,Won,Active,11/12/2025,38,-33,Interested,Deploy container,Kyle,Yes,In Person,FALSE,
LID-00014,CID-9C4708EE,Trac Ornamental Iron,2025-11-07,Already has someone but said he would keep us in mind,Has Vendor,Nurture,Warm,2/5/2026,38,52,Has Vendor,Follow up in 90 days,Kyle,Yes,In Person,FALSE,
LID-00015,CID-BC2F945E,All-Star Fabrication,2025-11-10,Interested but limited space; discussed tailoring container to fit facility needs. Asked for info via email (allstarfabtyler@gmail.com).,Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00016,CID-7305AF6F,Banggood Auto Parts,2025-11-10,would have to get it approved by corporate which is based out of Australia,Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00017,CID-EE56A62D,BBM Industries,2025-11-10,"Because they are a supplier, they dont get a lot of scrap metal. gave them some cards to hand out to roofing companies getting materials",No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00018,CID-6A7FB5C6,Cavendars,2025-11-10,Would have to get it approved through corporate,No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00019,CID-FBE2FA1A,East Texas Door Company,2025-11-10,Only deal wih wood,No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00020,CID-C5F3E536,Firehouse Roofing,2025-11-10,"Very interested, will give me a text or email",Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00021,CID-831E2E24,Green Life Technologies,2025-11-10,Were not interested,Not Interested,Lost,Cold,5/9/2026,35,145,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00022,CID-349A2098,Highway Towing,2025-11-10,"Dont really get a lot of scrap metal, mainly tires and plastic bumpers. But when they do I told him to go to Madfos",No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00023,CID-A7D36C20,Mobile Communications,2025-11-10,"Interested, but doesnt feel like they generate enough scrap. Told him it doesnt just have to be a roll off container",No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00024,CID-50923FA4,Overhead Door Company,2025-11-10,will give me a call once they are able to speak to the owner about it,Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00025,CID-770DC4D9,Rexel Electric Supply,2025-11-10,"Dont produce any scrap metal, but will let people know",Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00026,CID-7475A0D0,Tyler Tool,2025-11-10,Talked to Ed Datwyler and he is reaching out to his business partner and knows some people who my need car crushing services,Interested,Nurture,Hot,11/24/2025,35,-21,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00027,CID-F91BEA97,Waterman Electric,2025-11-10,Will talk to Cindy (owner) after she returns from vacation on 11/18/2025.,No Scrap,Lost,Cold,5/9/2026,35,145,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00028,CID-6C48A5BE,Advantage Roofing,2025-11-11,Said to call back tomorrow when the owner is there so that I can talk to someone who makes the decisions.,Interested,Nurture,Hot,11/25/2025,34,-20,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00029,CID-EF0854C1,ASAP Roofing,2025-11-11,The manager was on the phone and asked if I could call or come back tomorrow,Interested,Nurture,Hot,11/25/2025,34,-20,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00030,CID-B64E54DC,B & L Casing,2025-11-11,Was not able to get in contact with the person in charge but they took my information and I grabbed a phone number from them and plan on calling them back tomorrow,Interested,Nurture,Hot,11/25/2025,34,-20,Interested,Send pricing info,Kyle,Yes,In Person,FALSE,
LID-00031,CID-86189B03,Cables Roofing,2025-11-11,"Said there guys usually load it up and take it to Tyler Iron, I let him know about our roll off and pricing and he said he would give me a call for commercial jobs",Not Interested,Lost,Cold,5/10/2026,34,146,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00032,CID-2C22DFF4,Coleman Roofing,2025-11-11,Office was locked. Called and the owner saved my number and said he would give me a call if they have a job with scrap metal. He did inquire about pricing and I explained how effective and efficient it is to let us take care of the scrap metal that way his employees are freed up to do other things.,No Scrap,Lost,Cold,5/10/2026,34,146,Other,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00033,CID-52A86A0C,Eagle Steel Buildings,2025-11-11,I could not get in contact with the right person so I want to go back in the morning to see if I can secure this account,Not Interested,Lost,Cold,5/10/2026,34,146,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
LID-00034,CID-266B83A6,Miller Electric,2025-11-11,The manager wasn't there but the receptionist is going to give them my card and hopefully reach out to me. If i dont heard from them in 3 days I will give them a call back,Not Interested,Lost,Cold,5/10/2026,34,146,Interested,Follow up in 180 days,Kyle,Yes,In Person,FALSE,
