Company ID,Address,Company,Industry,Latitude,Longitude,Priority Score,Tags,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due,Urgency Score,Contact Status,DueDays,UrgencyScore,ScoreComponents,UrgencyBand,Close Probability,Competitor Mentioned,Last Activity Type,Email
CID-7BEB1FD9,"Private Address in Tyler, Texas","Zi Construction Services, LLC",Construction,,,70,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-D538E232,"1507 E Front St, Tyler, TX 75702",Zavala’s Auto Detail,,,,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-08604F81,"1818 Capital Dr, Tyler, TX 75701",Your Home By Harry's,,32.2964769,-95.3263353,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-097CEC44,"13739 State Hwy 155, Tyler, TX 75703",Yosemite Roofing Tyler TX,Roofing,32.2814316,-95.3588719,75,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-4C50D9D6,932,Yosemite Roofing,,,,,,No Scrap,2025-11-11,31,149,2026-05-10,0,Lost,149,0,,None,0,,,
CID-C18561E9,"4368 US-271, Tyler, TX 75708",York Welding and Fab,Welder,32.3850486,-95.2760052,50,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-D4EC3F6D,"4368 US Highway 271, Tyler, TX 75708",York Welding and Fab,Welding,,,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:N/A;Factor:0,None,0,,,
CID-23E6D6CE,"292 County Road 2900, Mineola, TX 75773",Yellow Jacket Welding & Metal Works,Welder,32.6817544,-95.5602052,50,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-EAC93A1D,"18837 State Hwy 155, Flint, TX 75762",Xtreme Metals,Metal,32.207831,-95.419701,95,,,,,7,12/19/2025,0,Never Contacted,7,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-43D8EB29,"216 E Front St, Tyler, TX 75702",Xpress Auto & Diesel,,,,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-DE5F2C40,"10633 FM 2710, Lindale, TX 75771",Wright's Gutter Company,Construction,32.5535023,-95.3385218,70,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-3BB39FCB,"13250 FM3039, Crandall, TX 75114","WreckHouse Demolition, LLC",Construction,32.6198998,-96.4615386,70,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-FB2C48FE,"Private Address in , Texas",Woodbine Electric Company,Electrician,31.9685988,-99.9018131,70,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-96205DAA,988,WON Motors LLC,,,,,,Corporate/Manager Approval,2025-11-25,17,13,2025-12-25,0,Nurture,13,0,,None,0,,,
CID-C5057686,"State Highway 110, Whitehouse, TX 75791",Winston Water Cooler LTD,,32.2370944,-95.2284676,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-8F678C93,"705 S Southeast Loop 323, Tyler, TX 75702",Winn Tile,Construction,,,70,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-1B6BB027,"2700 Meadowlark Ln, Tyler, TX 75701",Wilder's Seamless Gutters LLC,Gutter,32.323733,-95.2655872,75,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-AC4A25EC,"Private Address in , Texas",Wild Horse Welding,Welder,31.9685988,-99.9018131,50,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
CID-581479E8,"3401 W Shaw St, Tyler, TX 75701","Wholesale Electric Supply Co., Inc.",,,,,,,,,,,0,Never Contacted,,0,Outcome:20;Priority:0;Due:NaN;Factor:NaN,None,0,,,
